## Benchmark with 150994944 rows (2^27 primary, 2^24 secondary)
## Keys (expected to be unique) taken from keys.bin
# p_log_entries = 27
# s_log_entries = 24
###
table,operation,positive_ratio,rw,pbs,sbs,0.5,0.6,0.7,0.75,0.8,0.85,0.9,0.95
iceberg,fop,   0,16,  8,  4, 29.911655, 32.481312, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.698444, 21.279570, 24.382338, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.906330, 32.495258, 35.581749, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.693626, 21.283060, 24.375546, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.915630, 32.499554, 35.590004, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.698240, 21.280361, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.921133, 32.495205, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.694349, 21.278732, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.914566, 32.493771, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.697933, 21.280371, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.908173, 32.484627, nan, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.696806, 21.280428, 24.376600, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   0,16,  8,  4, 29.908447, 32.495411, 35.583183, nan, nan, nan, nan, nan
iceberg,fop, 0.5,16,  8,  4, 18.696833, 21.283457, nan, nan, nan, nan, nan, nan
iceberg,fop,0.75,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,fop,   1,16,  8,  4, nan, nan, nan, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.505459, 13.081599, nan, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.669670, 11.461651, nan, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.251879, 10.647962, nan, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.832653, 9.835725, nan, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.510374, 13.083372, 14.939136, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.673152, 11.462656, 12.404737, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.254131, 10.650624, 11.130253, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.835930, 9.836544, 9.852147, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.506426, 13.080371, 14.935245, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.671514, 11.459866, 12.403917, nan, nan, nan, nan, nan
iceberg,find,0.75,32,  8,  4, 10.254745, 10.648211, 11.130496, nan, nan, nan, nan, nan
iceberg,find,   1,32,  8,  4, 9.833881, 9.834227, 9.849446, nan, nan, nan, nan, nan
iceberg,find,   0,32,  8,  4, 11.504275, 13.082010, 14.934629, nan, nan, nan, nan, nan
iceberg,find, 0.5,32,  8,  4, 10.670285, 11.459584, 12.406157, nan, nan, nan, nan, nan
